,Latitude,Longitude,Elevation,s_El_Corr,s_Corr_f,in_sat,DEM,Date,geometry
491865,12.619721,104.33599699999999,-12.754,0.0,0,0,-15.88,2003-02-20,POINT (104.335997 12.619721)
491866,12.618167,104.335781,-12.735,0.0,0,0,-15.870000000000001,2003-02-20,POINT (104.335781 12.618167)
491860,12.627491,104.337069,-12.802,0.0,0,0,-15.89,2003-02-20,POINT (104.337069 12.627491)
491885,12.588576999999999,104.33154499999999,-12.734,0.0,0,0,-15.84,2003-02-20,POINT (104.331545 12.588577)
491886,12.587016,104.33133099999999,-12.753,0.0,0,0,-15.83,2003-02-20,POINT (104.331331 12.587016)
491887,12.585455,104.33111699999999,-12.747,0.0,0,0,-15.83,2003-02-20,POINT (104.331117 12.585455)
491906,12.555867,104.32701999999999,-12.717,0.0,0,0,-15.790000000000001,2003-02-20,POINT (104.32702 12.555867)
491907,12.554314,104.326793,-12.719,0.0,0,0,-15.790000000000001,2003-02-20,POINT (104.326793 12.554314)
491908,12.552762,104.326566,-12.706,0.0,0,0,-15.21,2003-02-20,POINT (104.326566 12.552762)
491909,12.55121,104.32634,-12.691,0.0,0,0,-14.61,2003-02-20,POINT (104.32634 12.55121)
491910,12.549655999999999,104.326115,-12.711,0.0,0,0,-14.07,2003-02-20,POINT (104.326115 12.549656)
491911,12.548103,104.325891,-12.673,0.0,0,0,-13.57,2003-02-20,POINT (104.325891 12.548103)
491905,12.557419,104.327248,-12.713000000000001,0.0,0,0,-15.790000000000001,2003-02-20,POINT (104.327248 12.557419)
491912,12.546546999999999,104.325666,-12.717,0.0,0,0,-13.13,2003-02-20,POINT (104.325666 12.546547)
491914,12.543429999999999,104.32521799999999,-12.715,0.0,0,0,-11.75,2003-02-20,POINT (104.325218 12.54343)
491915,12.54187,104.324996,-12.634,0.0,0,0,-10.9,2003-02-20,POINT (104.324996 12.54187)
491916,12.54031,104.324777,-12.745000000000001,0.0,0,0,-9.98,2003-02-20,POINT (104.324777 12.54031)
491918,12.537189,104.32434599999999,-12.784,0.0,0,0,-8.23,2003-02-20,POINT (104.324346 12.537189)
491919,12.535629,104.32413299999999,-12.671000000000001,0.0,0,0,-8.39,2003-02-20,POINT (104.324133 12.535629)
491790,12.736486,104.35230299999999,-12.744,0.0,0,1,-7.92,2003-02-20,POINT (104.352303 12.736486)
491913,12.544989,104.325442,-12.738,0.0,0,0,-12.540000000000001,2003-02-20,POINT (104.325442 12.544989)
491852,12.639963999999999,104.33875599999999,-12.741,0.0,0,0,-15.9,2003-02-20,POINT (104.338756 12.639964)
491904,12.558973,104.32747499999999,-12.751,0.0,0,0,-15.8,2003-02-20,POINT (104.327475 12.558973)
491902,12.562088,104.32792699999999,-12.743,0.0,0,0,-15.8,2003-02-20,POINT (104.327927 12.562088)
491888,12.583896,104.33090399999999,-12.762,0.0,0,0,-15.83,2003-02-20,POINT (104.330904 12.583896)
491889,12.582336999999999,104.330692,-12.726,0.0,0,0,-15.83,2003-02-20,POINT (104.330692 12.582337)
491890,12.580779999999999,104.33048,-12.717,0.0,0,0,-15.82,2003-02-20,POINT (104.33048 12.58078)
491891,12.579222999999999,104.33026799999999,-12.749,0.0,0,0,-15.82,2003-02-20,POINT (104.330268 12.579223)
491892,12.577665999999999,104.330058,-12.728,0.0,0,0,-15.82,2003-02-20,POINT (104.330058 12.577666)
491893,12.57611,104.329849,-12.777000000000001,0.0,0,0,-15.82,2003-02-20,POINT (104.329849 12.57611)
491903,12.560528999999999,104.327702,-12.739,0.0,0,0,-15.8,2003-02-20,POINT (104.327702 12.560529)
491894,12.574555,104.329639,-12.759,0.0,0,0,-15.82,2003-02-20,POINT (104.329639 12.574555)
491896,12.571442,104.32922099999999,-12.724,0.0,0,0,-15.81,2003-02-20,POINT (104.329221 12.571442)
491897,12.569884,104.32901199999999,-12.728,0.0,0,0,-15.81,2003-02-20,POINT (104.329012 12.569884)
491898,12.568325,104.328801,-12.745000000000001,0.0,0,0,-15.81,2003-02-20,POINT (104.328801 12.568325)
491899,12.566766,104.328588,-12.762,0.0,0,0,-15.81,2003-02-20,POINT (104.328588 12.566766)
491900,12.565206,104.328372,-12.729000000000001,0.0,0,0,-15.8,2003-02-20,POINT (104.328372 12.565206)
491901,12.563647,104.32815099999999,-12.728,0.0,0,0,-15.8,2003-02-20,POINT (104.328151 12.563647)
491895,12.572999,104.32943,-12.681000000000001,0.0,0,0,-15.81,2003-02-20,POINT (104.32943 12.572999)
491851,12.641527,104.338968,-12.768,0.0,0,0,-15.9,2003-02-20,POINT (104.338968 12.641527)
491917,12.53875,104.32456099999999,-12.734,0.0,0,0,-9.01,2003-02-20,POINT (104.324561 12.53875)
491849,12.644651,104.33939699999999,-12.723,0.0,0,0,-15.91,2003-02-20,POINT (104.339397 12.644651)
491799,12.722503999999999,104.35035599999999,-12.793000000000001,0.0,0,0,-16.0,2003-02-20,POINT (104.350356 12.722504)
491800,12.720948,104.350132,-12.775,0.0,0,0,-16.0,2003-02-20,POINT (104.350132 12.720948)
491801,12.719394,104.349908,-12.785,0.0,0,0,-16.0,2003-02-20,POINT (104.349908 12.719394)
491802,12.717839,104.349682,-12.749,0.0,0,1,-16.0,2003-02-20,POINT (104.349682 12.717839)
491803,12.716284,104.349457,-12.707,0.0,0,0,-16.0,2003-02-20,POINT (104.349457 12.716284)
491804,12.714728,104.349233,-12.745000000000001,0.0,0,0,-16.0,2003-02-20,POINT (104.349233 12.714728)
491798,12.724060999999999,104.350577,-12.745000000000001,0.0,0,0,-16.01,2003-02-20,POINT (104.350577 12.724061)
491805,12.713170999999999,104.34900999999999,-12.759,0.0,0,0,-15.99,2003-02-20,POINT (104.34901 12.713171)
491807,12.710056,104.34856599999999,-12.771,0.0,0,1,-15.99,2003-02-20,POINT (104.348566 12.710056)
491808,12.708497999999999,104.348345,-12.722,0.0,0,0,-15.99,2003-02-20,POINT (104.348345 12.708498)
491809,12.70694,104.348124,-12.716000000000001,0.0,0,0,-15.99,2003-02-20,POINT (104.348124 12.70694)
491810,12.705382,104.347905,-12.688,0.0,0,0,-15.98,2003-02-20,POINT (104.347905 12.705382)
491811,12.703823,104.347686,-12.722,0.0,0,0,-15.98,2003-02-20,POINT (104.347686 12.703823)
491812,12.702264,104.347467,-12.743,0.074,2,2,-15.98,2003-02-20,POINT (104.347467 12.702264)
491806,12.711613999999999,104.348788,-12.762,0.0,0,0,-15.99,2003-02-20,POINT (104.348788 12.711614)
491813,12.700704,104.34724999999999,-12.743,0.0,0,1,-15.98,2003-02-20,POINT (104.34725 12.700704)
491797,12.725617,104.350798,-12.713000000000001,0.0,0,0,-16.01,2003-02-20,POINT (104.350798 12.725617)
491795,12.728727,104.35123499999999,-12.8,0.0,0,0,-16.01,2003-02-20,POINT (104.351235 12.728727)
491789,12.73804,104.352513,-12.766,0.122,2,5,-6.84,2003-02-20,POINT (104.352513 12.73804)
491850,12.643089,104.339182,-12.821,0.0,0,0,-15.91,2003-02-20,POINT (104.339182 12.643089)
491788,12.739595999999999,104.352722,-12.73,0.0,0,0,-6.890000000000001,2003-02-20,POINT (104.352722 12.739596)
491786,12.742711,104.353146,-12.805,0.202,2,5,-6.98,2003-02-20,POINT (104.353146 12.742711)
491785,12.74427,104.35336,-12.895,0.41500000000000004,2,5,-7.01,2003-02-20,POINT (104.35336 12.74427)
491784,12.745828999999999,104.353574,-12.771,0.674,2,4,-7.03,2003-02-20,POINT (104.353574 12.745829)
491796,12.727172999999999,104.351017,-12.754,0.168,2,5,-16.01,2003-02-20,POINT (104.351017 12.727173)
491764,12.777002999999999,104.357993,-12.297,1.7976931348623157e+308,3,25,-8.4,2003-02-20,POINT (104.357993 12.777003)
491760,12.783222,104.358871,-13.719,1.7976931348623157e+308,3,38,-8.63,2003-02-20,POINT (104.358871 12.783222)
491754,12.792568,104.360174,-11.919,1.7976931348623157e+308,4,47,-8.8,2003-02-20,POINT (104.360174 12.792568)
491753,12.794122999999999,104.36038699999999,-12.8,1.7976931348623157e+308,4,39,-8.83,2003-02-20,POINT (104.360387 12.794123)
491792,12.733379999999999,104.35188,-12.784,0.0,0,0,-11.33,2003-02-20,POINT (104.35188 12.73338)
491793,12.731829,104.351666,-12.735,0.0,0,0,-13.040000000000001,2003-02-20,POINT (104.351666 12.731829)
491794,12.730278,104.351451,-12.69,0.0,0,0,-14.77,2003-02-20,POINT (104.351451 12.730278)
491762,12.780114,104.358435,-12.66,1.7976931348623157e+308,3,13,-8.58,2003-02-20,POINT (104.358435 12.780114)
491814,12.699143999999999,104.347033,-12.733,0.0,0,0,-15.98,2003-02-20,POINT (104.347033 12.699144)
491787,12.741152999999999,104.35293399999999,-12.74,0.0,0,0,-6.94,2003-02-20,POINT (104.352934 12.741153)
491816,12.696022,104.346604,-12.757,0.0,0,0,-15.97,2003-02-20,POINT (104.346604 12.696022)
491835,12.666454,104.342523,-12.726,0.0,0,0,-15.93,2003-02-20,POINT (104.342523 12.666454)
491836,12.6649,104.34229599999999,-12.772,0.0,0,0,-15.93,2003-02-20,POINT (104.342296 12.6649)
491837,12.663343999999999,104.342069,-12.733,0.0,0,0,-15.93,2003-02-20,POINT (104.342069 12.663344)
491838,12.661786,104.341841,-12.722,0.0,0,0,-15.93,2003-02-20,POINT (104.341841 12.661786)
491839,12.660228,104.34161399999999,-12.762,0.0,0,0,-15.93,2003-02-20,POINT (104.341614 12.660228)
491840,12.658669999999999,104.341388,-12.743,0.0,0,0,-15.93,2003-02-20,POINT (104.341388 12.65867)
491834,12.668006,104.342748,-12.748000000000001,0.0,0,0,-15.94,2003-02-20,POINT (104.342748 12.668006)
491841,12.657112,104.34116399999999,-12.763,0.0,0,0,-15.92,2003-02-20,POINT (104.341164 12.657112)
491843,12.653996,104.340717,-12.72,0.0,0,0,-15.92,2003-02-20,POINT (104.340717 12.653996)
491844,12.652439,104.34049399999999,-12.813,0.0,0,0,-15.92,2003-02-20,POINT (104.340494 12.652439)
491845,12.650882999999999,104.340272,-12.768,0.0,0,0,-15.92,2003-02-20,POINT (104.340272 12.650883)
491848,12.646211,104.339613,-12.75,0.0,0,0,-15.91,2003-02-20,POINT (104.339613 12.646211)
491847,12.64777,104.33983099999999,-12.787,0.0,0,0,-15.91,2003-02-20,POINT (104.339831 12.64777)
491815,12.697583,104.346818,-12.757,0.0,0,0,-15.97,2003-02-20,POINT (104.346818 12.697583)
491842,12.655553999999999,104.34093999999999,-12.736,0.0,0,0,-15.92,2003-02-20,POINT (104.34094 12.655554)
491833,12.669557999999999,104.342973,-12.745000000000001,0.0,0,0,-15.94,2003-02-20,POINT (104.342973 12.669558)
491846,12.649327,104.34005099999999,-12.732000000000001,0.0,0,0,-15.91,2003-02-20,POINT (104.340051 12.649327)
491831,12.672663,104.34341599999999,-12.731,0.0,0,0,-15.94,2003-02-20,POINT (104.343416 12.672663)
491832,12.671109,104.343195,-12.702,0.0,0,0,-15.94,2003-02-20,POINT (104.343195 12.671109)
491817,12.694460999999999,104.346391,-12.764000000000001,0.0,0,0,-15.97,2003-02-20,POINT (104.346391 12.694461)
491819,12.691339,104.345969,-12.768,0.0,0,0,-15.97,2003-02-20,POINT (104.345969 12.691339)
491820,12.689779,104.34575799999999,-12.702,0.0,0,0,-15.96,2003-02-20,POINT (104.345758 12.689779)
491821,12.688220999999999,104.345548,-12.702,0.0,0,0,-15.96,2003-02-20,POINT (104.345548 12.688221)
491822,12.686663,104.345337,-12.763,0.0,0,0,-15.96,2003-02-20,POINT (104.345337 12.686663)
491823,12.685106,104.345126,-12.737,0.0,0,0,-15.96,2003-02-20,POINT (104.345126 12.685106)
491818,12.6929,104.34617999999999,-12.748000000000001,0.0,0,0,-15.97,2003-02-20,POINT (104.34618 12.6929)
491825,12.681996999999999,104.34470499999999,-12.671000000000001,0.0,0,0,-15.950000000000001,2003-02-20,POINT (104.344705 12.681997)
491826,12.680442999999999,104.344493,-12.749,0.0,0,0,-15.950000000000001,2003-02-20,POINT (104.344493 12.680443)
491827,12.678889,104.344281,-12.749,0.0,0,0,-15.950000000000001,2003-02-20,POINT (104.344281 12.678889)
491828,12.677334,104.344067,-12.762,0.0,0,0,-15.950000000000001,2003-02-20,POINT (104.344067 12.677334)
491829,12.675777,104.343852,-12.713000000000001,0.0,0,0,-15.950000000000001,2003-02-20,POINT (104.343852 12.675777)
491830,12.67422,104.34363499999999,-12.704,0.0,0,0,-15.94,2003-02-20,POINT (104.343635 12.67422)
491824,12.683551,104.344916,-12.794,0.0,0,1,-15.96,2003-02-20,POINT (104.344916 12.683551)
619520,12.672616,104.348868,-10.164,1.7976931348623157e+308,4,62,-15.92,2003-02-28,POINT (104.348868 12.672616)
619519,12.674171,104.349092,-10.702,1.7976931348623157e+308,4,66,-15.92,2003-02-28,POINT (104.349092 12.674171)
619518,12.675726,104.349318,-12.222,1.7976931348623157e+308,4,51,-15.92,2003-02-28,POINT (104.349318 12.675726)
619517,12.677283,104.349544,-13.842,1.7976931348623157e+308,4,45,-15.93,2003-02-28,POINT (104.349544 12.677283)
619516,12.67884,104.34977099999999,-13.002,1.7976931348623157e+308,4,49,-15.93,2003-02-28,POINT (104.349771 12.67884)
619513,12.683517,104.35045099999999,-11.673,1.7976931348623157e+308,4,39,-15.93,2003-02-28,POINT (104.350451 12.683517)
619514,12.681958,104.350225,-13.24,1.7976931348623157e+308,4,36,-15.93,2003-02-28,POINT (104.350225 12.681958)
619512,12.685075999999999,104.35067599999999,-12.259,1.7976931348623157e+308,4,39,-15.93,2003-02-28,POINT (104.350676 12.685076)
619511,12.686634,104.3509,-13.824,1.8880000000000001,2,126,-15.94,2003-02-28,POINT (104.3509 12.686634)
619510,12.688191999999999,104.351123,-13.748000000000001,1.7976931348623157e+308,4,42,-15.94,2003-02-28,POINT (104.351123 12.688192)
619509,12.689748999999999,104.35134599999999,-13.71,1.7976931348623157e+308,4,51,-15.94,2003-02-28,POINT (104.351346 12.689749)
619508,12.691303,104.35156699999999,-13.601,1.7976931348623157e+308,4,55,-15.94,2003-02-28,POINT (104.351567 12.691303)
619515,12.680399,104.349998,-13.417,1.7976931348623157e+308,4,54,-15.93,2003-02-28,POINT (104.349998 12.680399)
619521,12.671062,104.348647,-12.119,1.7976931348623157e+308,4,72,-15.92,2003-02-28,POINT (104.348647 12.671062)
619528,12.660153999999999,104.34714299999999,-13.780000000000001,1.7976931348623157e+308,4,52,-15.9,2003-02-28,POINT (104.347143 12.660154)
619523,12.667954,104.348215,-12.125,1.7976931348623157e+308,4,46,-15.91,2003-02-28,POINT (104.348215 12.667954)
619524,12.666399,104.348,-12.147,1.7976931348623157e+308,4,42,-15.91,2003-02-28,POINT (104.348 12.666399)
619525,12.664841,104.347786,-13.101,1.7976931348623157e+308,4,61,-15.91,2003-02-28,POINT (104.347786 12.664841)
619526,12.663279,104.347571,-13.533,1.7976931348623157e+308,4,55,-15.91,2003-02-28,POINT (104.347571 12.663279)
619527,12.661717,104.347357,-13.49,1.7976931348623157e+308,4,54,-15.91,2003-02-28,POINT (104.347357 12.661717)
619529,12.658593,104.346932,-12.280000000000001,1.7976931348623157e+308,4,47,-15.9,2003-02-28,POINT (104.346932 12.658593)
619530,12.657034,104.346723,-12.318,1.7976931348623157e+308,4,50,-15.9,2003-02-28,POINT (104.346723 12.657034)
619531,12.655477,104.346514,-13.482000000000001,1.7976931348623157e+308,4,31,-15.9,2003-02-28,POINT (104.346514 12.655477)
619532,12.65392,104.346305,-13.486,1.7976931348623157e+308,4,56,-15.9,2003-02-28,POINT (104.346305 12.65392)
619533,12.652363,104.346094,-13.541,1.7976931348623157e+308,4,49,-15.89,2003-02-28,POINT (104.346094 12.652363)
619534,12.650808,104.34588099999999,-14.044,1.7976931348623157e+308,4,40,-15.89,2003-02-28,POINT (104.345881 12.650808)
619535,12.649253,104.34566799999999,-13.636000000000001,1.7976931348623157e+308,4,39,-15.89,2003-02-28,POINT (104.345668 12.649253)
619536,12.647696999999999,104.34545299999999,-13.867,1.7976931348623157e+308,4,36,-15.89,2003-02-28,POINT (104.345453 12.647697)
619538,12.644580999999999,104.345023,-13.845,1.7976931348623157e+308,3,24,-15.88,2003-02-28,POINT (104.345023 12.644581)
619522,12.669507999999999,104.34843,-11.998000000000001,1.7976931348623157e+308,4,58,-15.92,2003-02-28,POINT (104.34843 12.669508)
619507,12.692855999999999,104.351787,-12.984,1.7976931348623157e+308,4,53,-15.94,2003-02-28,POINT (104.351787 12.692856)
619491,12.717786,104.355193,-14.049,1.7976931348623157e+308,4,43,-15.97,2003-02-28,POINT (104.355193 12.717786)
619505,12.695962,104.352223,-12.338000000000001,1.7976931348623157e+308,4,46,-15.950000000000001,2003-02-28,POINT (104.352223 12.695962)
619474,12.744245,104.358982,-13.029,0.043000000000000003,2,3,-7.0600000000000005,2003-02-28,POINT (104.358982 12.744245)
619539,12.643021,104.344808,-13.641,1.7976931348623157e+308,3,9,-15.88,2003-02-28,POINT (104.344808 12.643021)
619475,12.742688,104.35875999999999,-13.055,0.0,0,0,-8.19,2003-02-28,POINT (104.35876 12.742688)
619476,12.741131999999999,104.358537,-13.051,0.0,0,0,-9.21,2003-02-28,POINT (104.358537 12.741132)
619477,12.739576999999999,104.358312,-13.045,0.0,0,0,-10.11,2003-02-28,POINT (104.358312 12.739577)
619478,12.738024,104.35808499999999,-13.030000000000001,0.044,2,3,-10.91,2003-02-28,POINT (104.358085 12.738024)
619479,12.736471,104.357858,-13.05,0.127,2,5,-11.6,2003-02-28,POINT (104.357858 12.736471)
619480,12.734917,104.357631,-13.142,0.177,2,5,-12.370000000000001,2003-02-28,POINT (104.357631 12.734917)
619481,12.733362,104.35740399999999,-14.268,1.7976931348623157e+308,3,34,-13.22,2003-02-28,POINT (104.357404 12.733362)
619482,12.731805,104.35718,-14.384,1.248,2,22,-14.17,2003-02-28,POINT (104.35718 12.731805)
619483,12.730246999999999,104.356955,-14.004,1.7976931348623157e+308,4,33,-15.21,2003-02-28,POINT (104.356955 12.730247)
619484,12.728689,104.356732,-12.216000000000001,1.7976931348623157e+308,4,51,-15.99,2003-02-28,POINT (104.356732 12.728689)
619485,12.727129999999999,104.35650799999999,-11.975,1.7976931348623157e+308,4,47,-15.99,2003-02-28,POINT (104.356508 12.72713)
619486,12.725570999999999,104.356284,-13.328,1.7976931348623157e+308,4,33,-15.98,2003-02-28,POINT (104.356284 12.725571)
619487,12.724012,104.356061,-14.418000000000001,1.7976931348623157e+308,4,31,-15.98,2003-02-28,POINT (104.356061 12.724012)
619488,12.722453,104.35584,-14.181000000000001,1.7976931348623157e+308,4,27,-15.98,2003-02-28,POINT (104.35584 12.722453)
619489,12.720896,104.355622,-13.724,1.7976931348623157e+308,4,26,-15.98,2003-02-28,POINT (104.355622 12.720896)
619504,12.697519,104.35243899999999,-13.362,1.7976931348623157e+308,4,38,-15.950000000000001,2003-02-28,POINT (104.352439 12.697519)
619503,12.699079,104.35265199999999,-13.924,1.7976931348623157e+308,4,36,-15.950000000000001,2003-02-28,POINT (104.352652 12.699079)
619502,12.700641,104.352865,-13.94,1.7976931348623157e+308,4,47,-15.950000000000001,2003-02-28,POINT (104.352865 12.700641)
619501,12.702202999999999,104.353077,-13.766,1.7976931348623157e+308,4,52,-15.96,2003-02-28,POINT (104.353077 12.702203)
619500,12.703766,104.35329,-13.483,1.7976931348623157e+308,4,53,-15.96,2003-02-28,POINT (104.35329 12.703766)
619499,12.70533,104.353504,-12.532,1.7976931348623157e+308,4,37,-15.96,2003-02-28,POINT (104.353504 12.70533)
619506,12.694409,104.35200599999999,-12.321,1.7976931348623157e+308,4,40,-15.950000000000001,2003-02-28,POINT (104.352006 12.694409)
619498,12.706892999999999,104.35371699999999,-12.777000000000001,1.7976931348623157e+308,4,35,-15.96,2003-02-28,POINT (104.353717 12.706893)
619496,12.710014,104.354142,-13.174,1.7976931348623157e+308,4,45,-15.97,2003-02-28,POINT (104.354142 12.710014)
619495,12.711568999999999,104.354351,-13.144,1.7976931348623157e+308,4,38,-15.97,2003-02-28,POINT (104.354351 12.711569)
619494,12.713123999999999,104.35456099999999,-11.18,1.7976931348623157e+308,4,54,-15.97,2003-02-28,POINT (104.354561 12.713124)
619493,12.714677,104.35477,-13.056000000000001,1.7976931348623157e+308,4,46,-15.97,2003-02-28,POINT (104.35477 12.714677)
619492,12.716230999999999,104.354981,-13.929,1.7976931348623157e+308,3,41,-15.97,2003-02-28,POINT (104.354981 12.716231)
619490,12.719339999999999,104.355407,-14.021,1.7976931348623157e+308,4,43,-15.98,2003-02-28,POINT (104.355407 12.71934)
619497,12.708454999999999,104.35393099999999,-12.355,1.7976931348623157e+308,4,45,-15.96,2003-02-28,POINT (104.353931 12.708455)
619540,12.641461,104.34459199999999,-13.363,1.073,2,5,-15.88,2003-02-28,POINT (104.344592 12.641461)
619574,12.588489,104.337164,-13.006,0.0,0,0,-15.81,2003-02-28,POINT (104.337164 12.588489)
619542,12.638337,104.344156,-13.413,1.7976931348623157e+308,3,13,-15.88,2003-02-28,POINT (104.344156 12.638337)
619579,12.580707,104.33607599999999,-13.012,0.0,0,0,-15.8,2003-02-28,POINT (104.336076 12.580707)
619580,12.579151999999999,104.33585599999999,-12.986,0.0,0,0,-15.8,2003-02-28,POINT (104.335856 12.579152)
619581,12.577594,104.335634,-13.030000000000001,0.0,0,0,-15.8,2003-02-28,POINT (104.335634 12.577594)
619582,12.576034,104.335411,-12.971,0.0,0,0,-15.8,2003-02-28,POINT (104.335411 12.576034)
619583,12.574472,104.33518699999999,-13.0,0.0,0,0,-15.790000000000001,2003-02-28,POINT (104.335187 12.574472)
619584,12.572911,104.334963,-12.989,0.0,0,0,-15.790000000000001,2003-02-28,POINT (104.334963 12.572911)
619585,12.571351,104.334738,-12.991,0.0,0,0,-15.790000000000001,2003-02-28,POINT (104.334738 12.571351)
619586,12.569792,104.334513,-13.005,0.0,0,0,-15.790000000000001,2003-02-28,POINT (104.334513 12.569792)
619587,12.568235,104.334289,-13.007,0.0,0,0,-15.790000000000001,2003-02-28,POINT (104.334289 12.568235)
619588,12.566678999999999,104.334065,-13.007,0.0,0,0,-15.780000000000001,2003-02-28,POINT (104.334065 12.566679)
619589,12.565126,104.33384199999999,-12.989,0.0,0,0,-15.780000000000001,2003-02-28,POINT (104.333842 12.565126)
619590,12.563575,104.33362,-12.952,0.0,0,0,-15.780000000000001,2003-02-28,POINT (104.33362 12.563575)
619591,12.562025,104.3334,-13.001,0.0,0,0,-15.780000000000001,2003-02-28,POINT (104.3334 12.562025)
619592,12.560474,104.333181,-12.998000000000001,0.0,0,0,-15.780000000000001,2003-02-28,POINT (104.333181 12.560474)
619578,12.582262,104.33629499999999,-13.013,0.0,0,0,-15.8,2003-02-28,POINT (104.336295 12.582262)
619593,12.558921999999999,104.33296399999999,-13.027000000000001,0.0,0,0,-15.77,2003-02-28,POINT (104.332964 12.558922)
619595,12.555812999999999,104.332532,-12.943,0.0,0,0,-15.77,2003-02-28,POINT (104.332532 12.555813)
619596,12.554257,104.332318,-12.986,0.0,0,0,-15.77,2003-02-28,POINT (104.332318 12.554257)
619597,12.552698,104.332105,-12.961,0.0,0,0,-14.88,2003-02-28,POINT (104.332105 12.552698)
619598,12.551138,104.331893,-13.01,0.0,0,0,-13.950000000000001,2003-02-28,POINT (104.331893 12.551138)
619599,12.549577999999999,104.33168099999999,-12.994,0.0,0,0,-13.01,2003-02-28,POINT (104.331681 12.549578)
619600,12.548017,104.33147,-12.991,0.0,0,0,-12.07,2003-02-28,POINT (104.33147 12.548017)
619601,12.546457,104.331257,-12.971,0.0,0,0,-11.13,2003-02-28,POINT (104.331257 12.546457)
619602,12.544899,104.331043,-13.007,0.0,0,0,-10.58,2003-02-28,POINT (104.331043 12.544899)
619603,12.543341,104.330829,-13.045,0.116,2,4,-10.27,2003-02-28,POINT (104.330829 12.543341)
619604,12.541784,104.330615,-13.034,0.047,2,2,-9.950000000000001,2003-02-28,POINT (104.330615 12.541784)
619605,12.54023,104.330401,-12.992,0.0,0,0,-9.6,2003-02-28,POINT (104.330401 12.54023)
619606,12.538677,104.330187,-13.003,0.0,0,0,-9.24,2003-02-28,POINT (104.330187 12.538677)
619607,12.537125,104.329972,-13.037,0.0,0,0,-8.97,2003-02-28,POINT (104.329972 12.537125)
